,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,Pop Total '000,1-14 Yrs Old %,15-64 Yrs Old %,>=65 Yrs Old %,Total Pop '000,Urban Pop '000,Rural Pop '000,Avg Fam Size,Urban Avg Fam Size,Rural Avg Fam Size,Avg Monthly Expenditure (RM),Urban Avg Monthly Expenditure (RM),Rural Avg Monthly Expenditure (RM),Urban Poverty Line Income (RM),Rural Poverty Line Income (RM),Urbanisation Rate %
Malaysia,"30,437.1",23.4,68.9,7.7,"7,909.2","6,156.1","1,753.1",3.8,3.7,4.0,"4,729","5,040","3,631","2,660","2,342",77.8
Johor,"3,764.9",24.1,69.0,7.0,999.4,790.8,208.6,3.7,3.7,4.0,"4,634","4,824","3,913","2,665","2,481",79.1
Kedah,"2,087.9",24.6,66.6,8.9,534.2,359.8,174.5,3.8,3.7,3.9,"3,787","3,925","3,501","2,303","2,206",67.3
Kelantan,"1,817.3",29.3,63.8,6.9,357.8,162.8,195.0,4.2,4.2,4.3,"4,170","4,703","3,726","2,415","2,199",45.5
Melaka,948.3,24.7,68.1,7.2,262.0,239.4,22.6,3.9,3.9,3.9,"5,291","5,435","3,775","2,721","2,122",91.4
Negeri Sembilan,"1,158.0",25.4,66.9,7.8,309.3,219.8,89.5,3.6,3.7,3.5,"3,987","4,377","3,021","2,617","1,876",71.1
Pahang,"1,553.1",26.0,66.9,7.1,382.6,212.9,169.7,3.7,3.7,3.7,"3,949","4,414","3,361","2,675","2,235",55.6
Pulau Pinang,"1,614.4",18.8,72.8,8.3,478.3,443.8,34.5,3.4,3.3,3.9,"4,675","4,750","3,712","2,258","2,136",92.8
Perak,"2,400.7",23.0,66.8,10.2,649.9,482.1,167.8,3.5,3.5,3.7,"3,727","3,904","3,213","2,332","2,199",74.2
Perlis,283.3,20.1,71.5,8.3,75.8,41.8,34.1,3.9,3.9,3.8,"3,818","3,897","3,721","2,199","2,069",55.1
Selangor,"6,581.7",21.1,71.1,7.8,"1,774.8","1,701.4",73.4,3.8,3.8,4.1,"5,854","5,929","4,128","2,848","2,421",95.9
Terengganu,"1,175.6",28.8,65.2,6.1,281.4,182.2,99.2,4.6,4.6,4.7,"4,695","5,014","4,116","2,799","2,662",64.7
Sabah,"2,675.7",24.5,69.2,6.3,601.3,361.1,240.2,4.3,4.1,4.6,"4,414","4,702","3,977","2,706","2,795",60.1
Sarawak,"2,374.8",21.2,70.1,8.7,596.8,354.3,242.5,4.0,4.0,3.9,"4,167","4,711","3,361","2,860","2,263",59.4
W.P. Kuala Lumpur,"1,787.1",19.6,73.0,7.4,553.0,553.0,n.a,3.2,3.2,n.a,"5,468","5,468",n.a,"2,816",n.a,100.0
W.P. Labuan,87.7,27.4,67.3,5.4,21.6,20.0,1.6,4.1,4.0,4.4,"5,376","5,450","4,441","2,606","2,196",92.7
W.P. Putrajaya,114.8,37.0,61.3,1.8,30.9,30.9,n.a,3.9,3.9,n.a,"5,249","5,249",n.a,"2,450",n.a,100.0
